dataset_id,display_name,organism,assay_type,role,input_format,local_input_path,local_metadata_path,processed_output_path,status,notes
PRJNA1124135_scRNA,Wolffia_australiana_Time_of_Day_scRNA_seq,Wolffia australiana,scRNA-seq,train_candidate,raw_fastq_dir,data/public_references/raw/PRJNA1124135/scRNA_seq,data/metadata/wolffia_public_run_accessions.csv,data/public_references/processed/PRJNA1124135_wolffia_time_of_day.h5ad,raw_runs_identified,Preferred Wolffia-native training dataset; four scRNA-seq runs SRR29417743-SRR29417746 (Dawn1 Dawn2 Dusk1 Dusk2)
PRJNA809022_snRNA,Wolffia_australiana_single_nucleus_RNA_seq,Wolffia australiana,snRNA-seq,validation_candidate,raw_fastq_dir,data/public_references/raw/PRJNA809022/snRNA_seq,data/metadata/wolffia_public_run_accessions.csv,data/public_references/processed/PRJNA809022_wolffia_snrna.h5ad,raw_runs_identified,Best used as validation or secondary reference; 18 snRNA-seq runs SRR18098953-SRR18098970
